Fruit,Stem,Flower,Leaf,Label
,,5736.0,54346.0,608
,,54111.0,,761
,,66830.0,,546
,,3655.0,,841
,,29059.0,,109
,1181.0,54058.0,41102.0,276
,,9101.0,,301
,,5185.0,23148.0,511
57770.0,43825.0,62059.0,34779.0,3
,,60007.0,,226
,,43618.0,,535
14906.0,55097.0,29113.0,50258.0,17
,,8772.0,,72
,,5623.0,47329.0,232
,,35886.0,34405.0,208
33523.0,,43026.0,44642.0,115
,,7698.0,,450
,,,8333.0,551
,24346.0,52225.0,60586.0,220
,,61773.0,,759
18784.0,,17582.0,5241.0,243
31217.0,684.0,41251.0,24362.0,15
,,27228.0,57973.0,57
66822.0,,42717.0,16319.0,341
,,46350.0,57141.0,433
,53107.0,57992.0,15119.0,21
44400.0,,12696.0,,270
10511.0,2676.0,23828.0,40627.0,45
,,36420.0,19980.0,198
67673.0,19523.0,,41130.0,18
,,67553.0,,116
,,55716.0,16642.0,271
,,61044.0,23324.0,335
31593.0,6101.0,,17579.0,159
,,31844.0,47198.0,315
37180.0,22137.0,14174.0,9957.0,17
43317.0,,10289.0,39984.0,140
35524.0,11688.0,,41970.0,207
,,61813.0,,110
,,65116.0,49583.0,216
39339.0,10934.0,3420.0,56651.0,187
17163.0,,46610.0,,716
6547.0,51245.0,61374.0,26010.0,33
,,54731.0,,656
11857.0,,31346.0,,550
,,63641.0,,87
,,58444.0,9037.0,675
3014.0,,11545.0,42430.0,427
,37139.0,,40108.0,425
25720.0,,13890.0,,564
,,3121.0,,358
59729.0,,24248.0,511.0,105
,,17768.0,32206.0,347
62646.0,,17974.0,41427.0,372
,,46877.0,34782.0,102
,,27092.0,,597
,,23969.0,20080.0,386
,,14792.0,,261
,,24817.0,,682
,,49953.0,,231
,,37595.0,,832
,,22306.0,,383
,,34350.0,8363.0,598
6384.0,,,66047.0,499
,,30257.0,,278
14892.0,31274.0,1484.0,20773.0,73
,,19912.0,,642
,,6063.0,,392
,,2161.0,,937
,,14091.0,,414
54765.0,66522.0,,2395.0,626
,,42162.0,,531
17158.0,51267.0,34320.0,44520.0,257
56693.0,30672.0,37601.0,29536.0,35
,,4026.0,,755
26612.0,,58994.0,,589
,,36755.0,,734
8528.0,,25689.0,20694.0,322
64553.0,,14304.0,,304
11954.0,30666.0,57355.0,2370.0,44
,,52544.0,,847
66628.0,46097.0,54205.0,23280.0,154
,,53179.0,38725.0,120
44492.0,51630.0,31448.0,33873.0,11
,,20725.0,,872
,,40046.0,,761
,,65641.0,33798.0,78
15153.0,16105.0,44385.0,65940.0,4
57836.0,5027.0,25768.0,46674.0,51
,,1972.0,66587.0,628
,50658.0,8851.0,30068.0,36
36457.0,,8442.0,46040.0,310
61730.0,,29673.0,,514
,,429.0,55550.0,305
,,62622.0,,538
13900.0,55795.0,4553.0,43546.0,92
,,25445.0,,679
7186.0,54598.0,,21734.0,160
,,56918.0,33425.0,585
54700.0,34586.0,48691.0,53269.0,119
,,37227.0,,911
,,63060.0,,891
,,48652.0,,103
1154.0,22367.0,43172.0,52232.0,186
20226.0,35310.0,63804.0,17468.0,44
,,67731.0,,226
,,43199.0,,274
,,38494.0,,392
,,60324.0,,603
15158.0,37390.0,63748.0,67538.0,127
,,12778.0,26253.0,391
33350.0,13452.0,60168.0,42033.0,121
3460.0,,21677.0,,828
,,38754.0,,592
,,2923.0,,713
,,43501.0,25121.0,585
18212.0,42331.0,,35879.0,228
,,43757.0,49439.0,208
,,61312.0,65742.0,284
61730.0,,41135.0,,514
,,,13766.0,689
,,57600.0,52171.0,39
,,58929.0,46849.0,205
,,62070.0,,619
,,45864.0,,923
9170.0,42594.0,10897.0,6651.0,17
,,33807.0,41202.0,144
47453.0,,6938.0,,282
,,28310.0,,619
,,50613.0,,298
,,38626.0,8509.0,252
,,37124.0,,749
,,3395.0,,887
,,43126.0,20661.0,315
,,54864.0,,687
41631.0,,3645.0,66349.0,95
,,11057.0,9631.0,89
,11034.0,,61410.0,138
,,51879.0,50993.0,191
45896.0,,48248.0,,509
,,49265.0,46442.0,433
,,55828.0,,167
,,59968.0,,420
40277.0,47132.0,62249.0,28500.0,41
,,503.0,64266.0,63
17466.0,,6212.0,56011.0,247
,,15795.0,,385
11440.0,22567.0,,5535.0,289
20592.0,52537.0,49839.0,51073.0,9
,,24407.0,50384.0,585
63053.0,33041.0,44325.0,2504.0,83
59948.0,,,62960.0,447
35833.0,,6491.0,527.0,316
31033.0,3786.0,66194.0,4495.0,54
,,61286.0,,696
64788.0,,7075.0,,234
40288.0,,34482.0,10231.0,310
,,29085.0,,600
,,33538.0,,679
53581.0,12728.0,19633.0,51547.0,16
,,10045.0,,531
2109.0,,55618.0,58093.0,97
,,13128.0,,691
64636.0,,64856.0,8448.0,126
46425.0,59734.0,38058.0,11773.0,2
39549.0,41623.0,7418.0,48056.0,73
,,53604.0,,889
,,37547.0,34089.0,63
,,1823.0,43831.0,658
,,5899.0,39685.0,201
,27328.0,34801.0,7675.0,96
,,17676.0,54666.0,63
,,47435.0,,455
,,19566.0,33700.0,254
,,43426.0,,490
,,63132.0,,273
,5612.0,31121.0,8910.0,276
,,19625.0,14260.0,199
,,61487.0,15779.0,746
,,61631.0,66122.0,162
,,22962.0,48190.0,410
,17388.0,37583.0,19235.0,12
,,60453.0,54938.0,263
,38697.0,,48628.0,138
,,43588.0,28961.0,217
,,42229.0,,767
34435.0,,2014.0,,168
,,26955.0,59643.0,778
46385.0,19499.0,,6558.0,230
16298.0,18190.0,56124.0,40263.0,69
,6211.0,26240.0,41737.0,269
,,8860.0,,616
,,49515.0,35218.0,610
,,13026.0,,762
,,30642.0,,231
,,55065.0,,409
,,33119.0,,597
63640.0,,29690.0,3457.0,88
,,26401.0,,235
,,21194.0,,323
50441.0,,58136.0,47561.0,173
,,40682.0,,361
,,36503.0,,87
,,60514.0,,76
,,67367.0,21524.0,620
,,57757.0,,361
28165.0,,41463.0,1480.0,139
18928.0,,8049.0,,239
53408.0,,39051.0,,514
,,6343.0,,488
,,16863.0,5179.0,143
,23004.0,43103.0,20740.0,236
,,,16136.0,342
47853.0,10463.0,59670.0,47634.0,0
,,12543.0,,565
,,27994.0,,870
,,65561.0,,110
42363.0,,1349.0,7382.0,178
52355.0,,20938.0,37452.0,52
,,1261.0,,655
18382.0,23678.0,44259.0,60657.0,92
32298.0,1340.0,,46789.0,27
,,64255.0,,699
33176.0,,47232.0,9154.0,133
,,30271.0,,320
45505.0,26032.0,,35729.0,192
,,45255.0,,167
26422.0,,61382.0,,422
,,3237.0,,616
,,39723.0,,904
,,22109.0,,540
5569.0,25981.0,,357.0,91
,,1831.0,,795
,,15773.0,66848.0,252
30447.0,,39606.0,,431
17720.0,,19341.0,37291.0,283
,,2669.0,,219
34568.0,,64105.0,,467
3851.0,2872.0,,62944.0,85
19253.0,65418.0,64934.0,58040.0,123
,23935.0,,66983.0,138
24606.0,,21191.0,,828
,,57671.0,,409
47368.0,,34664.0,38341.0,374
32613.0,,,,805
27538.0,41541.0,,23888.0,148
,,66641.0,20536.0,410
,,16549.0,,812
,2869.0,34988.0,52631.0,26
60060.0,,53592.0,26314.0,30
,,42528.0,14713.0,424
,,35580.0,32754.0,199
,,19776.0,,779
7461.0,36884.0,61254.0,55637.0,19
54802.0,6963.0,22878.0,43336.0,2
53496.0,24895.0,54985.0,44703.0,53
28765.0,62533.0,13174.0,28696.0,45
56290.0,,,33642.0,499
,,65698.0,5700.0,302
,,60742.0,,109
,,5436.0,,776
49535.0,,16079.0,,480
,,,404.0,815
33082.0,20502.0,28505.0,3784.0,54
,,38575.0,,604
,,29180.0,1864.0,232
41972.0,56942.0,610.0,41459.0,43
,,13435.0,,368
,,20275.0,,377
62862.0,,29378.0,5233.0,300
,,46704.0,,536
,,,8143.0,849
49914.0,,44079.0,,547
,,62306.0,,320
,,8582.0,49200.0,172
12867.0,38157.0,35572.0,36661.0,111
,,58906.0,,751
,,25526.0,,103
14919.0,,1821.0,,803
54966.0,,2433.0,34979.0,142
,,15658.0,,655
46728.0,,34513.0,7686.0,179
,,24626.0,,767
13020.0,,,,844
47322.0,,5976.0,,340
63957.0,32337.0,58540.0,39346.0,101
,,53063.0,18808.0,182
,,18576.0,,543
,,45191.0,,783
2657.0,,33923.0,18261.0,322
,,23912.0,,469
,,38432.0,,394
35171.0,2418.0,29619.0,18555.0,60
,,4706.0,44402.0,199
25409.0,61786.0,18177.0,40383.0,14
,,1730.0,,916
,,64888.0,,392
13687.0,,24864.0,,528
,,60449.0,,839
,,67500.0,,616
,,37659.0,,624
58240.0,53143.0,35659.0,60322.0,41
3552.0,4925.0,22768.0,6247.0,170
8256.0,,54304.0,33601.0,184
29299.0,41150.0,18658.0,59696.0,49
,,49127.0,,380
,,49482.0,33168.0,63
,,4853.0,,584
33285.0,,,,701
47318.0,,17101.0,41945.0,93
,,66802.0,,109
,,5713.0,,377
,,19303.0,,906
,,3429.0,51984.0,878
,,9955.0,7078.0,491
,,49453.0,,774
,,5346.0,,685
,,26583.0,33224.0,57
54305.0,51844.0,,52478.0,159
,,63452.0,,624
,,27423.0,36115.0,106
6364.0,64442.0,9106.0,2240.0,34
,,60233.0,,116
,,28263.0,,832
,,26412.0,,553
,,23186.0,,941
,,64243.0,47268.0,106
37180.0,52492.0,49569.0,16292.0,17
13322.0,,42596.0,16938.0,395
,,22940.0,23276.0,524
,,9434.0,,323
47056.0,2418.0,21072.0,54679.0,60
,,2505.0,,116
,,47774.0,,555
,,26725.0,,503
,,56579.0,,420
,,56660.0,63354.0,382
,,50649.0,13905.0,254
,,39473.0,8020.0,359
,,34709.0,,704
49247.0,29472.0,1943.0,23197.0,121
53236.0,,50064.0,,731
,,55385.0,,409
41947.0,,20246.0,,508
57184.0,,28781.0,40984.0,225
44305.0,59.0,25765.0,65765.0,22
,,50085.0,,538
2899.0,,25099.0,,509
,,61893.0,58548.0,387
47979.0,,58256.0,9823.0,7
26635.0,,48232.0,6410.0,522
,,16593.0,,141
,,10065.0,,544
,20556.0,54743.0,40455.0,236
44465.0,4640.0,34625.0,27327.0,253
,,61257.0,54927.0,136
,,46116.0,23321.0,727
51534.0,23627.0,19704.0,21453.0,69
9996.0,66067.0,37667.0,5053.0,48
,,66021.0,14713.0,424
,,52364.0,43198.0,118
,,20730.0,,736
,,50166.0,,813
,,65312.0,,590
204.0,41846.0,,48850.0,55
,,38774.0,,87
2027.0,59268.0,,55912.0,218
49780.0,,43774.0,18698.0,209
5018.0,13875.0,52954.0,38866.0,54
,,3510.0,,594
,,4267.0,,141
,,52969.0,,443
67345.0,19730.0,34091.0,47907.0,2
16723.0,,,12972.0,346
,,12162.0,,867
,,35009.0,54490.0,302
,,28286.0,57775.0,29
,,36849.0,39964.0,40
,,45974.0,,448
,,5654.0,,538
66234.0,46424.0,45065.0,30260.0,10
54715.0,1340.0,,25842.0,27
,,13812.0,,392
27842.0,,13732.0,,651
,,66883.0,,434
66628.0,24124.0,15047.0,23280.0,154
,,57814.0,,560
66592.0,60571.0,57070.0,27513.0,71
,,25591.0,36992.0,172
,,13527.0,,510
,,38391.0,,933
,,45348.0,,814
5825.0,3296.0,,14945.0,286
,60292.0,63079.0,55058.0,96
,,54897.0,,879
,,14670.0,1589.0,327
,,65259.0,23461.0,129
,,48749.0,,793
,,52441.0,,261
,,47011.0,,516
,,39227.0,,576
,,21936.0,10432.0,598
,,66873.0,65241.0,214
,30187.0,29495.0,20365.0,36
,,47622.0,,167
,,22198.0,28770.0,174
,,11838.0,34782.0,102
17499.0,,22791.0,38366.0,93
27315.0,45416.0,378.0,22709.0,79
27053.0,,65650.0,53649.0,572
16262.0,40746.0,20434.0,1218.0,73
,,14891.0,,807
,29274.0,,20574.0,237
28511.0,,29818.0,8763.0,176
,,49957.0,11098.0,400
,,,62827.0,930
,,65180.0,,323
,,32269.0,,521
,,67285.0,,649
,,46755.0,,392
,,23863.0,,72
,,55276.0,,770
,,37269.0,44970.0,194
26462.0,,23620.0,18427.0,408
,,67513.0,29116.0,428
,,16606.0,,645
,,8563.0,,630
,,559.0,,392
,,19617.0,,621
43778.0,29493.0,27893.0,29143.0,6
,,40351.0,62867.0,155
6752.0,16602.0,37286.0,3331.0,47
61958.0,2454.0,17680.0,27858.0,1
,,62606.0,,862
53496.0,21039.0,56581.0,51038.0,53
15235.0,,41592.0,58630.0,184
,,34211.0,18252.0,281
20581.0,,24736.0,67240.0,124
27291.0,,8351.0,10748.0,86
,,23006.0,63088.0,193
10159.0,22381.0,47078.0,6883.0,42
,,60353.0,,291
,,58902.0,,87
,,38895.0,,381
,,18534.0,,891
,,9391.0,,87
,,3575.0,34318.0,308
54113.0,37008.0,31608.0,35143.0,11
34206.0,56399.0,44915.0,34373.0,51
,,65744.0,18588.0,216
,,24805.0,1451.0,215
,,57478.0,6093.0,367
,,25509.0,,843
,11901.0,38464.0,23642.0,220
,,62120.0,13799.0,13
,,64893.0,,758
31070.0,62702.0,33376.0,30375.0,48
,,52123.0,,167
28188.0,4994.0,2402.0,33236.0,60
,,,17855.0,689
50703.0,17898.0,6401.0,54677.0,80
,35996.0,,51029.0,237
31334.0,56624.0,,14893.0,289
,,36158.0,,691
,,17937.0,,149
47146.0,36096.0,20266.0,4145.0,16
,,67695.0,43059.0,182
19329.0,,8783.0,,422
,,40491.0,,586
,,29707.0,,453
,,47687.0,,72
8729.0,50029.0,,42068.0,18
8242.0,,20342.0,,206
41294.0,,6716.0,30505.0,37
,,61853.0,10147.0,169
,,36063.0,60636.0,102
,,48125.0,,211
,,55091.0,64810.0,405
,,64557.0,,87
4646.0,,51647.0,42200.0,225
44600.0,57433.0,2903.0,51045.0,16
47578.0,9114.0,26457.0,24733.0,38
,,31965.0,,826
,21407.0,36326.0,61172.0,96
18682.0,37150.0,,43862.0,85
57924.0,48905.0,21024.0,23215.0,83
50880.0,33870.0,,8494.0,218
52882.0,,,33642.0,499
35578.0,,64444.0,,647
,,62188.0,52859.0,242
49285.0,14285.0,4896.0,30709.0,49
59847.0,891.0,63216.0,65281.0,11
35454.0,12460.0,,29366.0,160
46492.0,36111.0,10618.0,9137.0,14
,,23282.0,,646
,,11383.0,,448
,,57732.0,23276.0,524
,,39503.0,,75
,,22631.0,,277
,,57065.0,45229.0,238
8260.0,46855.0,52483.0,250.0,101
,,5263.0,,695
360.0,4802.0,56621.0,6886.0,19
,21732.0,,8051.0,425
,,20163.0,,605
,,9026.0,,277
,,56908.0,,290
27597.0,44746.0,3905.0,5402.0,119
,,22996.0,,532
,,12274.0,,590
10481.0,49468.0,9925.0,65293.0,23
,,17344.0,,813
,,59868.0,,224
,,16146.0,36862.0,185
,,55318.0,,785
,,7500.0,49231.0,144
,,33428.0,,336
,,1786.0,,770
,,7314.0,,75
35890.0,,11302.0,36956.0,94
,,66569.0,18252.0,281
,,655.0,,549
,,59726.0,35483.0,174
,,8298.0,,295
,,38223.0,,802
,,21938.0,,813
,,22410.0,,181
,,35738.0,,291
3998.0,,49196.0,,304
47578.0,47994.0,34932.0,22971.0,38
,,44045.0,,857
7468.0,,19764.0,,239
,,27580.0,18472.0,205
58386.0,,44280.0,52749.0,84
,,32385.0,,444
,,44066.0,,685
,,46533.0,,325
1355.0,52979.0,57831.0,31063.0,8
,,,52842.0,376
,,61612.0,64427.0,208
,,6585.0,,437
67728.0,,5560.0,,239
42904.0,2808.0,21361.0,41127.0,170
,,27184.0,,195
,,55157.0,63279.0,562
,20676.0,4904.0,33029.0,26
,,20659.0,60080.0,118
,9142.0,30327.0,58859.0,64
,,63864.0,,273
33068.0,9105.0,15868.0,5796.0,9
15472.0,13986.0,,49061.0,207
,,39983.0,58483.0,13
,,47293.0,,855
,,42462.0,,266
,50421.0,32696.0,43989.0,12
,,67220.0,,295
50716.0,52366.0,11386.0,50475.0,71
,,46658.0,,325
,,13385.0,31146.0,386
56388.0,,63968.0,,297
,,5278.0,,513
,,64598.0,45607.0,607
,,27186.0,56009.0,314
7573.0,34692.0,42391.0,48118.0,23
,,28728.0,,857
10698.0,,13638.0,5928.0,88
,,55062.0,,481
12901.0,42690.0,38742.0,30169.0,51
,,45257.0,55990.0,365
,,31004.0,,414
35497.0,17054.0,,4581.0,18
,,42522.0,,595
1990.0,,57428.0,,479
,,32078.0,18640.0,404
,,65130.0,,552
,,31546.0,50579.0,518
,,16977.0,,381
,,57788.0,,481
,,53328.0,50993.0,191
,,37347.0,,789
,,8417.0,,75
,,14769.0,19129.0,89
,49108.0,,56196.0,296
53210.0,,34434.0,29837.0,178
1457.0,,67400.0,1037.0,349
,,65579.0,47672.0,39
36360.0,37231.0,36789.0,62909.0,50
,34858.0,14653.0,15397.0,12
67556.0,18813.0,25024.0,42386.0,34
42112.0,,48339.0,37805.0,465
,,2156.0,,630
15153.0,13254.0,40937.0,42317.0,4
,,59885.0,44391.0,89
,,28598.0,,919
46238.0,,24538.0,958.0,20
,,43832.0,,546
52563.0,23181.0,17564.0,453.0,73
32782.0,,55239.0,,161
14193.0,58506.0,,61053.0,227
,,45448.0,,357
,,55757.0,,171
,,3404.0,33479.0,169
,,33598.0,32522.0,305
51181.0,59274.0,,39457.0,91
,,33721.0,58824.0,112
,,40809.0,,219
11172.0,18791.0,53807.0,8543.0,53
,,57665.0,,742
,,56096.0,,323
,,67161.0,,469
,,30078.0,,72
46197.0,34586.0,55585.0,52065.0,119
,,28042.0,26133.0,384
15351.0,,9887.0,,340
,,57174.0,38541.0,136
,,54444.0,,552
,,26342.0,,336
,,43057.0,,764
36806.0,,,,890
27129.0,,46434.0,51915.0,52
,,58780.0,,250
46804.0,,48389.0,23189.0,209
,,38740.0,,618
,,44198.0,16710.0,542
,,49385.0,,952
3866.0,14712.0,6179.0,226.0,80
66880.0,,30715.0,66198.0,30
,,54983.0,,392
,,62706.0,,181
,,2677.0,40974.0,388
,,34390.0,,538
26448.0,,49509.0,40941.0,97
,29740.0,12296.0,9985.0,81
,,42198.0,,290
18207.0,,7725.0,,369
,,32395.0,9631.0,89
,,57341.0,3815.0,201
,,60442.0,65722.0,347
,,2466.0,,453
,,40208.0,,213
,,19824.0,,823
28560.0,,13139.0,,188
,,34379.0,32632.0,271
,47330.0,27238.0,29477.0,12
56048.0,40184.0,44769.0,9043.0,67
,,36720.0,34185.0,216
51794.0,,15717.0,,550
,,34306.0,16082.0,591
,12474.0,33547.0,7973.0,64
25122.0,,31850.0,,363
,,6026.0,50439.0,242
,,56252.0,21228.0,136
,,8586.0,,797
,,26755.0,,358
,,44662.0,51161.0,57
20315.0,9406.0,139.0,13849.0,54
,,29478.0,61258.0,132
,,21255.0,67292.0,262
,,20753.0,,368
60638.0,32781.0,63276.0,269.0,0
48174.0,,9742.0,37733.0,77
,,50480.0,,87
,,31718.0,,532
,,67234.0,46693.0,112
,,63832.0,42238.0,332
,,53749.0,,443
30734.0,,51690.0,,270
,,16401.0,55775.0,314
,,63353.0,61418.0,106
11129.0,34680.0,19345.0,14418.0,111
,,10525.0,,502
41650.0,,42515.0,45160.0,115
,,59121.0,14744.0,612
18212.0,66150.0,,20111.0,228
,,64059.0,23276.0,524
,,9943.0,,76
25548.0,,19896.0,,456
,,59867.0,,600
,,51004.0,36284.0,367
,,12814.0,,72
,,21197.0,52321.0,608
58857.0,,46080.0,7414.0,319
47368.0,,59708.0,38341.0,374
,,5947.0,,644
20890.0,8013.0,46368.0,4601.0,6
,,12952.0,,435
26480.0,,50050.0,,270
42235.0,56725.0,,42722.0,27
56735.0,32933.0,29350.0,27750.0,28
,,18756.0,42666.0,118
,,7187.0,65566.0,330
,,26778.0,,331
54337.0,,,,876
,,31917.0,,794
,,5340.0,,212
,,36948.0,,366
3693.0,,65265.0,,223
,,12634.0,,616
27947.0,,67516.0,701.0,173
61547.0,51630.0,62984.0,35815.0,11
,,31447.0,,588
20704.0,,65986.0,13898.0,98
,,17611.0,,226
,,48580.0,,87
14135.0,,5719.0,42048.0,37
,,9172.0,,567
5245.0,3522.0,17954.0,34957.0,22
,,16660.0,,457
,,19412.0,,883
,,7035.0,,462
,,57210.0,,421
10083.0,,974.0,12643.0,20
65982.0,,25614.0,32843.0,175
,,,23381.0,930
,,44932.0,,109
21147.0,,23302.0,10340.0,7
,,63965.0,21158.0,345
,,45565.0,,459
,,37518.0,35620.0,359
,,8082.0,,851
11017.0,45337.0,52975.0,50155.0,73
34170.0,,52914.0,56668.0,142
,,30196.0,,497
492.0,,24342.0,,363
22111.0,6832.0,7943.0,66345.0,2
,,2205.0,,190
10654.0,42488.0,4152.0,50627.0,46
,,,17725.0,896
,,56782.0,43809.0,29
,,28727.0,,440
,,16059.0,,606
,,10335.0,,811
17774.0,25995.0,51902.0,32112.0,59
,,48938.0,9831.0,169
,,35718.0,20919.0,275
53590.0,5979.0,32966.0,36041.0,9
,,55937.0,,767
63175.0,,50757.0,25046.0,328
,,41721.0,,356
,,14930.0,,250
,,14506.0,48412.0,29
,,55166.0,,294
,,4785.0,,113
26021.0,27075.0,9202.0,27833.0,6
,50421.0,37583.0,53957.0,12
30215.0,9223.0,56538.0,26911.0,371
33621.0,15591.0,8744.0,63540.0,33
,47272.0,,,652
,,66471.0,50015.0,163
,,55434.0,,516
,,,6940.0,896
,,4587.0,,116
37403.0,42331.0,,39821.0,228
,,32142.0,58492.0,163
,,47523.0,54753.0,57
,,16342.0,29760.0,78
,,,59579.0,326
64153.0,19943.0,27052.0,42540.0,25
,,41743.0,,616
,,5228.0,,862
41538.0,,3236.0,42550.0,86
,,29605.0,,301
,,7557.0,,489
3736.0,,26553.0,44805.0,97
,60299.0,23786.0,17284.0,276
56354.0,,19755.0,313.0,406
,,27799.0,,732
,,22823.0,7866.0,162
48194.0,23692.0,18233.0,28039.0,50
66593.0,43208.0,35216.0,59241.0,0
,,48916.0,,211
,,65967.0,,72
54802.0,31180.0,40561.0,32724.0,2
,,67250.0,,409
,,28877.0,36314.0,292
,32475.0,18180.0,49443.0,276
,,6659.0,51749.0,40
,,58129.0,,807
,,11043.0,,452
,,55505.0,38340.0,204
,,46701.0,,869
,,34120.0,,688
54896.0,389.0,9479.0,27009.0,3
,,62392.0,,740
,,19850.0,,366
33671.0,55358.0,13376.0,53634.0,35
14243.0,,34638.0,19466.0,86
,,11005.0,,414
55315.0,22627.0,26490.0,5647.0,34
6646.0,,34271.0,,321
49838.0,,35145.0,,456
,,47362.0,24892.0,129
,,41551.0,18717.0,500
36622.0,,53933.0,40075.0,146
13190.0,3800.0,,60691.0,55
17263.0,43935.0,,16559.0,477
,,65846.0,,439
,,9249.0,65341.0,262
18730.0,,24279.0,832.0,30
40412.0,45344.0,,28333.0,27
,,23621.0,43059.0,182
,,36320.0,51170.0,203
13496.0,,3873.0,30831.0,486
,,48601.0,,250
,,55165.0,32630.0,156
67661.0,,50340.0,53832.0,95
24331.0,31702.0,10174.0,58115.0,14
,,39599.0,,602
,,10393.0,51170.0,203
,,20155.0,,795
,,52644.0,,494
,,62217.0,,767
48437.0,52015.0,5350.0,34238.0,6
66745.0,1834.0,32703.0,9483.0,22
14480.0,47861.0,20932.0,4879.0,371
,,36509.0,,729
,4371.0,15060.0,43632.0,403
16569.0,,26711.0,2981.0,84
,,43165.0,49522.0,143
53010.0,,10234.0,29398.0,184
37288.0,34538.0,20640.0,2520.0,42
,,19968.0,45698.0,259
,,54768.0,51132.0,13
,,46240.0,,190
,,48820.0,50761.0,591
,,64813.0,,772
,,5660.0,18120.0,182
,,49977.0,,546
1219.0,11474.0,28957.0,27327.0,253
,,848.0,,497
51866.0,49594.0,,48923.0,27
62913.0,,42098.0,46917.0,338
,,,35730.0,715
,,45142.0,,690
28162.0,,,,617
,,46274.0,34419.0,129
,,9002.0,,845
31431.0,49846.0,40504.0,63541.0,50
26276.0,17460.0,37470.0,47061.0,62
,,56470.0,,872
,,39813.0,,679
8714.0,,55811.0,66436.0,98
,,3805.0,61056.0,251
,,41885.0,55668.0,136
,,29269.0,,301
