Image,Label
8868,551
5664,67
67632,395
38309,341
14198,64
10220,612
546,57
7420,71
34089,63
12893,518
50866,896
16270,458
67694,78
59345,108
43391,18
31733,680
18121,44
63419,659
5824,187
64257,64
28050,180
30255,417
21486,6
19691,24
63042,58
44520,257
16311,424
60772,98
12069,96
18472,205
32261,67
813,837
13811,670
64935,61
55053,14
28473,159
38903,51
65478,31
3407,90
2905,305
66584,58
60188,650
65009,229
23905,561
13292,591
32104,472
45138,519
44518,14
13741,138
48850,55
773,50
18378,319
14016,101
3972,32
33327,48
14206,573
45113,930
30697,33
31954,91
42708,121
57494,491
40147,244
52728,12
58825,607
21943,35
10024,7
27909,128
34700,51
22114,49
17473,23
3456,77
21604,101
34051,34
32517,138
57608,551
14907,4
41627,227
48592,0
59627,670
29116,428
38429,10
37700,591
8083,119
4012,101
64116,41
32367,347
42787,735
58823,189
5031,170
27257,355
66345,2
20587,326
63562,64
63914,104
64516,205
40318,139
18111,32
23050,152
25872,256
5904,360
67110,52
26125,66
30798,921
29,14
25842,27
29216,119
45793,111
53427,230
36387,262
31390,447
64479,201
40782,12
10051,83
56411,58
9727,2
33780,714
57095,23
41440,43
33689,815
36051,599
23601,193
21101,14
26729,461
42329,23
48677,126
3634,415
41215,18
17836,9
27795,268
37271,312
11803,153
17521,408
14511,8
9787,10
44402,199
22542,112
58082,73
58385,45
24343,183
52437,19
24001,329
5968,233
42478,382
38346,6
11717,445
33403,324
58643,778
17479,433
23046,86
15082,777
1359,706
8815,18
1783,108
15897,41
50773,68
13886,54
37264,260
39979,165
58048,260
38917,262
30431,268
22552,38
7319,451
6891,451
18981,155
4799,11
43491,49
17828,194
57640,284
35591,47
39316,227
55787,926
34864,38
29026,130
53032,28
11187,52
5178,17
49965,148
8910,276
19157,26
18960,148
37029,581
10780,94
54748,7
62003,22
29289,196
7757,56
4495,54
40261,117
40234,46
15135,34
49730,192
43055,136
35815,11
35137,296
32972,85
30505,37
23501,78
59191,672
49828,146
10414,312
25553,400
34818,86
29119,14
17298,5
54201,154
32122,577
5629,69
16798,470
37337,184
13153,46
38784,99
8835,137
57375,359
52333,58
50074,268
54677,80
27190,8
55707,376
5659,376
5240,121
36501,6
30511,30
48951,130
34542,680
65686,44
43982,52
41173,14
63672,29
49792,330
42274,31
53812,12
36086,715
53881,715
52848,128
11806,378
43270,518
62728,345
12202,473
31165,38
40043,352
51117,470
53368,55
63541,50
45797,191
528,77
30402,66
49454,178
14959,10
23148,511
42986,6
5162,41
60874,140
1622,202
39857,2
10804,433
6241,482
61396,54
26616,412
25523,104
10748,86
13658,12
44669,30
44927,562
54191,100
45,329
21399,180
12040,79
45365,44
53555,4
3356,326
48283,148
63508,56
23987,74
57307,210
47278,2
3123,191
63742,44
35339,337
30549,22
35104,227
67498,300
47839,451
1679,8
47704,218
57295,32
28293,608
31062,342
55674,117
61736,577
2018,20
38557,724
18250,14
24903,730
37856,334
52336,9
24394,81
66826,29
63729,245
63890,326
37842,81
25763,56
53712,73
28555,483
27857,145
9137,14
4004,562
40689,124
41473,3
10541,25
26154,80
1053,142
51137,69
28930,6
9750,55
40957,30
10295,330
42762,200
5410,29
21104,36
43415,442
44770,6
29380,14
15691,22
13979,92
3886,60
83,14
14952,157
48870,326
38190,117
32506,131
23985,371
9154,133
67334,35
26291,196
25721,477
36745,17
44488,135
31958,97
4485,17
29776,78
17284,276
12150,153
18612,471
66195,11
38413,83
13172,156
50157,1
49588,148
8327,154
42963,218
17638,342
14904,16
37394,31
61322,537
44360,417
34373,51
16761,157
20365,36
36572,314
3548,99
18216,14
52536,185
35552,365
11773,2
19377,11
18109,400
42466,120
19641,27
63485,243
5313,207
9928,47
36809,158
47528,135
6558,230
48202,41
743,2
46600,0
27703,101
34185,216
23252,312
1480,139
52528,391
48056,73
35984,29
46122,58
40434,781
3710,144
26357,24
44912,21
14583,711
16541,296
51778,470
47766,1
22580,170
57758,131
36337,93
65132,35
44038,1
27242,28
24819,319
35488,930
51959,650
64302,203
5169,25
6054,13
50235,650
60937,537
40122,117
62768,131
16306,413
15244,21
20241,131
13130,672
65117,155
58852,57
7038,343
47922,6
42591,372
30398,86
12704,67
55916,376
39779,18
58207,229
33442,715
12446,29
31476,246
43537,159
2001,292
31730,341
13105,55
50306,413
3754,11
65014,6
20764,6
50219,61
590,458
38138,2
13459,64
5127,62
1530,16
19761,83
39762,105
45996,418
62399,664
22732,635
17464,31
33141,85
55685,28
56922,15
45693,78
59241,0
24576,43
45188,23
40785,403
37514,159
38371,326
15600,11
58123,25
8512,78
52199,54
28974,373
27346,51
13027,133
20310,230
53051,95
62396,128
20111,228
4955,160
21910,391
2654,27
30468,551
58115,14
26847,286
36620,19
36010,471
39502,30
61522,29
64655,628
26784,136
46724,324
46697,458
11219,83
45480,451
13586,207
15505,6
8849,314
13625,727
51289,207
56529,57
27437,192
7125,754
10044,607
51469,245
20473,2
15649,66
52478,159
25544,194
19555,78
56117,293
6037,220
59160,27
9300,293
40754,77
2755,16
879,21
53295,14
18808,182
44700,126
27140,80
31872,17
30552,43
37661,69
43373,69
59854,131
51153,101
3426,2
40096,537
60280,218
44329,486
31615,853
18005,62
55034,417
42719,107
43139,267
17081,21
36545,309
31268,227
32962,13
35916,482
724,173
46920,74
50143,20
66498,97
5489,79
63233,302
63684,726
44575,326
38661,18
48240,50
3965,174
58629,59
13554,52
11422,55
2015,31
15791,217
21809,73
9985,81
66058,92
30763,217
51831,6
28731,423
26524,92
8295,569
61860,30
3664,159
52462,777
24072,36
54300,101
8605,214
38769,139
24555,338
25726,166
15630,236
8204,710
33688,265
52716,108
49307,243
8954,194
59502,35
24261,7
59034,715
45342,599
9881,296
15397,12
10146,12
38112,342
57377,59
44059,24
13330,89
56544,62
32542,539
17576,36
64143,347
41344,26
32711,537
33157,114
47936,311
23947,50
29253,332
11312,214
36295,337
7045,13
41737,269
25434,14
38866,54
60122,7
34455,243
4347,220
44663,55
42844,309
49191,4
26910,119
26894,83
39457,91
52058,22
67524,403
18101,672
16130,396
20948,17
46975,58
32338,184
13155,530
59456,59
36460,505
3660,62
37668,23
51656,40
39446,3
13849,54
19142,308
7558,445
6221,305
15863,64
54476,88
17840,85
58681,473
40282,296
1501,496
4659,80
32287,11
27566,569
66461,82
14475,7
50596,74
51716,665
42362,511
4069,94
34768,341
28869,763
39685,201
8660,259
44117,55
17173,37
18555,60
23348,17
53269,119
49230,187
25292,140
58030,395
22669,1
28906,926
53110,2
5076,192
7287,166
56382,7
31560,115
64425,101
37829,650
40941,97
28838,55
39931,333
16769,329
58041,461
12510,635
25494,210
43399,202
4262,40
28237,22
50788,82
65197,153
30045,135
20719,49
55754,80
28186,308
53458,48
45698,259
63484,214
36468,39
38639,483
61155,145
8254,505
20988,1
10515,676
59280,65
38078,896
26292,64
55088,123
40708,352
64478,896
61582,781
61122,157
27195,355
66808,43
11871,142
48638,14
20048,126
30041,36
49663,12
45087,1
44261,220
43094,210
50276,157
66360,741
22912,0
1707,43
11462,341
46055,410
58656,518
5691,55
13288,155
19876,120
34470,438
20364,77
36135,55
47986,723
4796,355
25076,0
65423,726
26812,258
15262,342
57369,202
25541,58
13310,133
29642,207
41383,12
6761,62
56208,66
27467,596
57832,64
54855,207
37771,483
33072,386
34361,99
42523,50
16710,542
9904,878
36578,4
958,20
48094,70
4695,200
9587,32
36897,365
14737,33
7360,2
40891,370
46619,69
45130,13
9332,200
19877,185
58122,132
28115,169
58674,80
65592,115
5906,319
51677,705
30703,596
54293,31
16292,17
21690,114
13497,0
48461,470
34460,49
13346,108
37341,67
13377,12
4855,1
18853,59
15900,139
6673,283
14632,2
20865,70
1292,66
49074,27
64017,615
52318,48
21380,191
10152,170
45503,83
34865,55
44585,62
10326,257
44558,9
51835,419
33886,166
37833,447
25821,128
17686,11
37028,65
35055,3
32630,156
55579,260
47369,1
5700,302
34419,129
59307,101
53367,12
14844,204
28564,896
21775,7
56159,44
60398,86
58272,187
47026,133
44845,162
46256,265
66644,192
18660,343
37016,157
17588,111
50697,22
72,69
63819,229
4779,324
12891,52
6031,187
6390,199
38619,43
54583,260
28749,157
56539,74
25456,343
663,177
55056,121
11339,11
15441,22
67441,29
7973,64
8051,425
43266,22
63699,57
20337,17
7120,12
61684,86
13739,1
39453,186
3911,122
10433,577
62086,303
12533,77
59781,163
66778,56
18039,458
38477,416
32971,43
56589,6
37603,69
37972,16
57534,689
4638,175
6416,24
61568,29
38327,305
38484,57
14748,64
27330,50
35315,475
18650,412
37761,43
21541,12
16014,438
15747,551
20574,237
60101,345
21611,162
563,474
59957,30
1410,2
43244,396
47234,15
49584,166
50718,242
22489,21
2660,124
52466,56
36502,127
49079,148
58914,78
8048,196
62108,22
65311,11
26274,30
38708,100
26229,227
17520,112
16908,46
50927,205
35730,715
54125,727
41906,174
62264,25
55440,650
30684,413
29862,48
6974,771
35200,342
34636,46
63122,259
49603,27
20475,104
7291,86
22446,85
62546,650
10304,132
16883,293
47679,470
42347,12
63389,25
59999,714
35926,22
5174,24
27501,33
60080,118
57188,170
18399,635
32201,77
15763,126
49761,80
21502,0
65020,12
49832,45
20476,117
50072,129
35954,25
39438,518
16964,257
14846,338
35828,27
2006,40
43482,17
56670,329
14679,187
34304,11
23073,120
45892,89
17102,74
43540,48
22175,48
21529,326
52772,105
23395,404
289,166
32257,114
28451,474
26314,30
8576,55
63831,417
15040,285
18054,5
26626,853
31513,121
23373,105
59233,9
37751,176
9121,10
43997,334
1343,222
32556,143
40383,14
54782,22
34280,419
15679,15
57017,42
45524,296
32058,131
16894,114
14863,57
29973,99
46980,227
117,57
5123,908
33779,416
16472,370
20849,6
34318,308
52697,62
14835,77
20137,66
40813,628
22101,122
5611,338
17586,23
53420,5
36805,205
23322,496
14845,359
50818,24
798,101
36049,680
45126,370
24901,22
32595,107
57999,207
13919,57
31063,8
40440,21
6839,97
13264,433
64010,118
17855,689
35720,186
47090,236
12884,162
22405,130
64763,173
67758,127
11702,130
14223,47
52836,0
46689,30
59651,38
56490,126
30868,2
49777,299
47591,888
63899,108
35045,302
43198,118
62130,155
2127,243
31920,499
10053,253
51936,371
38925,334
14287,114
14240,17
4693,39
57135,22
7068,20
28017,659
34823,179
9190,0
34973,247
9796,658
21514,69
49566,388
20951,23
33027,138
1970,300
34499,84
64671,22
10137,262
3046,2
8981,137
45686,32
67740,11
46464,1
54789,3
25272,56
18432,83
6459,28
30565,413
51547,16
29784,417
12469,711
17848,16
22691,395
38099,183
34358,471
58582,0
51633,93
29471,460
45089,314
54163,17
37437,66
17769,216
63263,745
53187,208
58939,80
29229,200
61849,6
52411,22
42710,908
22763,289
34779,3
58227,30
47445,121
64743,15
31462,715
4114,537
40132,228
38305,200
4991,122
37197,77
42893,16
44047,447
30709,49
56956,25
66365,680
6074,728
28445,581
11138,85
13747,152
48251,24
20857,227
60669,11
33998,80
47960,13
18301,664
57346,22
47468,714
66610,3
11700,268
47081,3
58231,114
2929,218
42803,371
65674,142
16610,55
5931,128
23424,763
25394,310
10371,69
65238,316
28156,425
31842,715
11478,134
6901,551
11483,900
29276,324
19315,35
55012,11
25131,69
6785,376
18114,51
5196,18
66047,499
3744,849
2017,73
54825,59
11690,255
3524,342
57255,706
25903,4
64455,189
25951,18
64266,63
6625,722
17741,40
9854,506
46923,9
26782,16
6108,475
3399,217
24605,412
12652,30
48540,267
61355,47
19203,170
65598,186
23642,220
32419,0
58903,310
35678,35
44206,101
19910,220
53603,134
55093,49
35544,429
47953,153
33614,119
49609,683
20984,22
37077,22
13544,338
40974,388
9911,413
46515,47
11812,232
10009,454
9184,365
40817,346
54919,83
47094,134
34087,582
5748,46
64223,378
60657,92
46739,58
35164,504
53780,83
10180,14
41624,739
18227,5
54749,58
63655,39
6579,30
54375,11
12235,313
17055,446
15218,5
35739,577
56541,382
25615,22
10758,172
27446,244
28950,542
16254,396
2143,124
9148,185
8935,8
51495,101
32020,334
31892,276
21485,42
43307,148
48955,49
51984,878
15305,24
40933,28
53347,133
12257,6
545,50
67188,117
54138,24
4987,120
21177,24
41762,665
2240,34
23847,47
4039,2
2614,15
28866,359
58292,305
7903,0
60586,220
67771,367
5749,182
11475,0
2220,78
30754,97
57154,530
58284,61
24099,1
44727,227
19088,19
17975,74
44137,27
65757,126
54917,519
51612,133
33831,404
42559,163
40022,454
31053,610
28208,15
57257,522
32622,17
14730,806
67379,888
5006,107
30673,267
57393,64
12678,31
43167,158
60354,666
40737,7
1531,470
34103,315
63282,675
1151,47
667,6
10845,86
55001,697
51158,11
44391,89
43625,1
49439,208
66333,123
51514,610
14791,32
11915,67
65437,49
63976,52
52967,680
55200,52
34132,69
350,355
39505,475
152,470
12701,15
20633,128
13157,144
51108,17
39929,83
27833,6
49054,232
54998,55
51502,668
50609,451
17850,145
25753,5
35479,236
25873,82
57314,664
38704,159
45029,470
27375,276
56369,62
14713,424
29355,132
61320,104
17547,5
17130,672
29841,51
24963,216
65905,22
46011,1
2639,14
66595,0
42856,26
16990,100
3227,0
45726,14
66587,628
48522,778
27431,6
4399,665
28132,403
14047,12
54666,63
36157,537
26010,33
65603,128
34391,155
56086,58
10731,7
51585,1
41546,236
65621,474
13108,650
48097,672
39706,582
64811,285
31891,5
9464,115
278,330
28907,30
16205,24
43133,29
7375,507
51636,48
31058,71
57256,43
64774,97
50468,145
36239,12
47465,26
20375,14
51163,147
12581,112
56814,474
51280,373
8363,598
55749,11
57922,63
57183,14
59836,32
40226,124
38406,175
29901,95
29583,84
55870,395
24367,22
57032,191
64328,82
16783,114
3134,312
46124,47
9314,80
51170,203
6566,28
5536,47
29508,217
41342,501
61898,786
14893,289
66881,59
46165,69
63646,3
54712,133
47481,64
2702,447
14461,763
50893,259
58182,86
53661,683
55563,68
9132,14
4100,28
5626,227
39712,367
61662,23
39815,108
6440,228
27678,130
48080,23
58063,215
19563,127
24300,227
4843,2
24720,341
34020,16
54281,771
20548,38
2986,446
61459,28
35465,96
39957,260
49297,64
3962,82
28120,396
30528,106
49412,3
3203,105
18333,22
10188,51
11488,177
45964,122
50098,83
23596,6
24278,159
58126,29
17922,174
55536,4
38753,29
48799,217
11276,73
36125,63
50536,60
1595,157
42828,370
61611,69
47329,232
5781,10
40263,69
32676,142
40942,9
15756,342
42722,27
54081,101
48628,138
36560,6
45575,7
58593,376
12414,136
49646,74
36426,423
3900,99
65581,6
2709,472
16535,1
22042,12
31973,166
63143,100
66198,30
45291,69
21047,191
10929,58
12312,128
37246,504
33693,328
51013,672
42144,777
37440,207
27043,286
17907,217
10384,30
33450,114
5871,207
7027,4
6739,46
42775,672
26569,29
56838,86
45760,159
64604,218
48223,296
29965,64
17618,7
35778,209
39318,0
18436,130
48986,28
15935,179
67163,170
52399,14
29092,69
8287,187
43766,69
3767,424
58204,95
67811,470
62263,7
10794,441
3596,763
9514,210
8787,11
46744,21
53308,101
34948,477
43455,254
40061,268
16083,303
43816,32
64164,598
49950,9
24832,251
64252,101
22452,177
35422,38
10469,316
45814,438
10514,22
56547,79
46986,367
51929,97
28236,84
22487,9
56583,650
2404,97
8604,82
10589,33
48897,9
57457,196
60403,29
30375,48
23142,608
9663,6
46917,338
43241,18
22063,384
36629,48
43384,34
58224,210
15445,207
45568,119
48270,0
10145,628
41246,133
67576,6
29983,34
8507,293
55180,105
50025,183
1524,0
14409,99
54082,342
57886,551
45017,165
9264,1
7835,746
851,73
2341,241
7924,49
7427,19
9454,342
14221,69
14635,310
9024,303
54642,658
1308,599
24491,41
48833,786
44114,196
61566,461
37957,8
23959,466
63392,232
38640,6
39821,228
34494,47
67415,24
62733,451
16020,200
38729,228
52862,680
2916,48
42301,16
21984,216
35243,257
33626,69
39794,21
27,9
33383,43
64177,432
4404,81
63580,853
53066,342
54597,6
46454,69
29099,174
9831,169
38834,160
3983,33
45015,3
11718,6
58507,31
39052,185
18310,12
42211,878
11654,123
6535,815
58120,22
29565,56
35147,154
47412,93
31773,908
33075,12
55015,620
30231,1
12184,30
33692,352
48030,61
25096,5
42037,126
49665,333
54943,428
31167,329
12789,59
29747,121
9533,77
56380,461
32183,47
46793,114
22393,204
4209,202
55863,170
27858,1
40353,28
13905,254
13318,281
41371,133
59117,14
18944,207
45507,69
30361,483
4205,5
34127,17
19462,921
32849,1
26706,33
62101,193
65133,31
33181,185
33867,22
15870,689
1948,672
27229,878
23213,245
37699,117
46562,14
3319,50
35698,79
19829,64
10664,474
64367,163
43795,58
55637,19
20215,7
2592,240
25111,126
62449,153
36200,352
10284,551
57496,275
13053,522
44422,257
38583,114
34454,47
64641,71
57692,6
49163,108
26806,119
55845,292
9445,246
60264,3
60818,22
22692,177
17642,66
65795,98
18245,309
28446,2
35369,30
4898,107
10848,119
54302,28
7768,14
26489,0
34541,240
2787,257
50595,62
52277,470
20170,608
59450,0
26022,30
43032,302
40181,3
992,429
5890,117
38350,5
48418,31
61258,132
6152,345
67076,91
49258,539
6742,374
44024,403
9331,470
11116,210
64209,44
53694,491
10943,55
41252,413
33473,57
66241,728
57990,163
34968,49
4971,152
4240,17
50053,60
47568,9
47688,12
49745,58
30529,166
22088,215
28006,684
22248,134
16516,66
35298,59
28466,281
47610,179
61794,48
43212,382
66950,29
58921,64
8494,218
43881,55
15014,99
62806,179
55912,218
43427,22
25063,58
59840,245
37915,12
38803,6
32050,148
33224,57
28476,6
59792,12
13374,470
9866,582
52372,313
65127,2
12880,471
28235,94
57463,715
41458,680
51510,77
40024,441
27240,175
3287,13
36685,187
24140,34
63685,820
55468,83
6620,166
57691,29
40452,24
21228,136
1915,908
47605,117
62960,447
10324,372
22458,897
36841,1
64093,184
15024,577
17422,465
67149,7
17092,728
60197,43
20915,63
25126,55
43947,598
48491,62
25831,391
35165,0
12853,36
21,61
65498,396
4145,16
57868,151
53964,8
19197,192
59282,134
16143,25
51029,237
49802,449
2884,180
54534,63
40827,10
59364,31
18350,6
61347,79
34507,204
59264,35
27405,477
23594,501
34881,117
53467,471
11835,114
5850,152
17956,117
29657,49
31755,48
49636,689
20752,386
50155,73
7866,162
42218,187
7311,28
54149,55
39106,397
62279,537
22385,7
61535,262
41974,23
30651,48
45149,314
46649,81
42969,202
21004,28
59498,20
66933,105
16337,178
18882,192
46522,207
832,30
50265,352
27212,763
41695,12
67698,1
33466,7
8688,404
34794,135
4635,735
55641,151
51052,100
67690,176
51203,100
25267,1
59183,13
36159,486
42463,38
56743,29
41706,853
41786,29
65241,214
5139,214
36015,43
39066,243
48266,251
53162,706
52013,126
18664,326
6142,302
38564,70
13024,312
42887,23
36405,61
55961,4
38836,423
1569,4
44848,308
7054,781
61954,449
31598,0
23027,6
12638,342
51236,416
18902,0
60361,134
9839,332
65071,896
53133,326
8429,3
41233,271
16887,32
10061,22
58663,23
10323,31
4688,60
43823,128
32159,114
11055,8
57807,1
4013,85
15354,84
30980,6
45831,921
67350,689
46800,44
51605,21
51302,111
9480,170
44668,189
40539,157
10089,461
10614,12
9165,561
44000,413
46177,130
60312,2
20321,739
12271,38
41431,112
52098,360
25697,300
15833,35
62673,12
55977,711
52417,60
9947,1
50135,196
7855,207
67158,3
50771,22
15515,251
27993,6
33797,474
24375,746
36634,313
10581,1
48796,1
39593,3
3743,472
19683,341
63725,8
47801,256
28534,66
63336,102
15771,327
40104,8
34365,236
26631,684
13177,124
23529,99
298,31
43614,62
55483,900
13193,714
65999,28
63308,176
44671,7
19074,63
2425,472
66973,710
36284,367
63491,126
33052,425
27263,259
52118,34
50041,837
25390,158
40315,187
24588,29
47848,12
21389,33
6867,64
1312,205
28984,50
26939,12
27408,82
9799,155
13761,86
23061,32
32628,38
36899,38
51499,69
6049,265
59111,373
61686,143
61757,22
64009,35
56009,314
51657,117
18864,371
6093,367
15793,308
51843,77
13866,32
65012,23
47881,55
35785,165
51557,17
53882,67
48289,146
7301,7
67551,432
20472,207
9178,207
23229,569
39412,272
11332,130
67530,577
66397,142
54820,82
59600,106
60109,26
53157,5
65430,3
4293,137
3551,374
11204,293
16231,1
2736,27
1694,0
9459,84
47235,236
51286,27
53770,511
43498,26
52143,897
49200,172
56668,142
44904,101
26092,432
26502,425
10101,16
25865,58
51370,258
56486,878
26460,6
58332,6
55323,144
33856,244
25750,403
59753,155
57461,500
61057,53
29159,405
34097,6
28322,746
42679,352
21559,178
12194,69
44577,54
10332,54
20329,926
38711,121
28677,49
35540,69
23400,705
312,530
36131,23
31394,19
44181,395
17697,27
40953,43
58630,184
63569,128
5171,30
11587,64
54978,218
19232,382
41924,27
18984,67
35057,194
61348,7
66535,626
60369,185
43989,12
50759,117
44382,93
16297,18
21781,460
1661,80
17570,12
39897,371
22077,1
44940,41
64299,85
53318,849
26177,346
11350,14
749,142
44875,39
40054,2
44319,675
45800,12
9950,93
57903,100
20684,97
32352,233
27417,127
34174,106
57517,89
57768,28
43458,921
37448,53
23382,27
20707,724
42621,296
48770,311
58372,138
50710,119
55225,132
36865,47
41284,473
32124,14
3815,201
2582,108
42259,165
55340,628
22640,48
25385,342
65208,159
37351,470
65194,728
16762,32
60081,6
9055,32
56856,237
34886,328
53886,2
41029,28
45434,689
36057,8
48895,192
39477,12
29366,160
29375,56
16117,5
24206,316
19327,741
19685,308
12169,0
29851,119
17607,163
59763,18
60485,5
64368,107
34387,16
44805,97
37313,176
2480,143
52408,256
5257,22
11839,102
62868,329
18926,620
19972,13
56097,28
43567,706
45730,17
66553,170
25149,38
20608,200
2265,376
26606,17
36359,44
8143,849
21211,754
21724,47
12562,29
435,107
27607,45
25199,739
30640,1
45219,121
23546,41
38584,62
41363,11
67745,34
67572,22
64616,28
263,62
56263,58
64662,29
22296,14
56013,98
56281,117
404,815
41499,41
22162,454
2395,626
23482,32
32652,124
14087,22
7788,45
40009,727
391,14
48383,284
14770,46
65517,157
6169,17
3257,178
5643,8
28888,6
34657,413
26669,169
57056,24
36979,151
8329,50
33601,184
51493,230
50924,374
65149,8
59076,71
47971,155
55554,14
16320,3
22917,900
6969,159
66510,4
25746,5
26816,33
4728,314
2967,499
58619,48
19715,2
33390,12
4291,433
40828,49
43546,92
63674,5
47894,145
2533,35
4457,128
44027,58
47907,2
7078,491
8369,54
63689,326
16652,524
9370,46
55362,319
62800,49
18061,62
54465,442
15282,17
67295,152
60440,178
45264,486
36617,23
30469,806
13423,34
25046,328
65742,284
31679,69
54182,43
50735,470
33129,471
20919,275
21668,17
14840,65
31170,30
37465,51
10950,86
64489,67
63590,1
37733,77
33234,585
50852,276
66683,100
57915,80
59834,24
21343,61
65281,11
45929,367
40879,326
2320,659
55147,247
27241,730
65148,6
5154,29
64308,474
62599,24
10603,62
1451,215
58009,59
62296,254
48860,352
4606,245
11729,418
5535,289
20820,59
17527,123
33642,499
18670,21
62033,14
67101,201
13219,163
62335,11
27420,6
28516,577
18806,326
57609,35
40311,315
5796,9
32909,157
54542,384
48412,29
44802,166
40100,267
7414,319
32656,284
48523,12
43474,27
55235,214
48481,48
41922,2
35621,33
34981,296
46242,658
5874,69
12423,778
28340,483
24561,18
57973,57
11143,16
41125,1
22421,12
61862,64
50663,33
37125,49
8081,17
37879,396
31227,786
27076,405
52948,134
64335,88
52998,135
1804,71
25071,30
28500,41
41213,572
66182,61
17364,406
22795,51
9203,572
49312,441
67417,29
42200,225
46051,30
63428,1
38163,79
5301,138
3889,408
49401,117
43773,241
48406,24
23857,820
34269,591
59247,30
12933,6
61007,35
15476,388
22641,447
35643,6
58702,777
328,256
699,30
51567,0
31571,155
8324,930
36041,9
27544,684
54475,258
22027,376
52007,31
14266,66
38977,241
16506,180
56967,170
52379,18
21942,153
56265,196
45098,370
36467,14
57045,78
13468,16
57240,79
56840,19
21892,55
45121,311
26101,216
63431,245
17903,551
51412,248
38219,145
12,38
52174,65
63853,202
11473,7
44368,711
7783,233
47701,182
28622,40
23958,16
29100,47
52553,107
16193,218
42585,62
45826,29
43028,458
54600,3
9443,130
50318,254
53688,472
53876,47
57707,27
34608,2
52622,166
50112,330
23849,132
5304,59
12520,30
9383,74
58196,126
63926,81
10877,1
37673,739
22594,30
8624,332
61356,6
14355,451
43085,12
27882,371
53099,391
66574,33
13414,930
48978,501
30499,12
64165,104
65272,122
33169,496
31659,40
53301,569
12113,58
19785,837
57571,18
53957,12
41264,582
46664,203
6414,18
30661,477
26323,3
1884,0
20411,665
10294,227
66775,237
55656,425
27949,71
44908,55
66832,6
40586,73
35463,37
27651,308
51037,55
9507,55
54678,5
14824,148
42370,1
53095,382
13678,59
29421,162
26722,33
46308,28
37881,741
3528,258
11736,54
28343,41
30054,313
32598,0
61887,680
35016,105
55760,569
29701,31
10270,145
28666,272
41915,396
19632,0
19146,23
3323,83
65553,48
53620,1
51865,207
14260,199
22292,43
9483,22
18762,74
37089,680
47727,1
13645,27
24018,449
33944,98
33417,39
32632,271
9524,650
12390,64
15491,896
63722,3
11793,42
18345,19
25302,376
4861,114
56410,44
62844,853
19136,341
51425,67
17204,138
8568,346
26534,62
9962,257
34849,406
37818,1
8801,122
8804,78
54606,697
34339,31
28815,33
21377,204
3590,59
67385,128
35169,173
42364,4
26877,49
64340,35
58859,64
63064,57
42137,33
25628,74
9959,85
3163,6
46082,315
34591,123
37460,107
18133,313
67629,900
38357,35
45231,139
44403,284
38047,303
5233,300
2520,42
290,31
56884,187
42873,49
16002,21
32356,1
53522,14
27458,724
15183,405
46289,237
40802,275
6164,786
18777,227
55213,326
28876,64
43720,228
63732,177
51527,35
58492,163
8560,202
15025,722
45593,551
41127,170
16527,49
21244,10
49050,77
36074,473
52879,156
53035,220
26449,370
17752,461
65728,620
3622,27
51389,610
50069,591
11056,158
19311,388
31197,138
40635,228
16854,22
48890,101
4610,256
58426,124
3197,9
31935,49
61032,248
14435,607
51953,228
60623,57
51470,5
34290,897
